Text_ID,Sentence_Number,text
0,0,"Negli antichi miti e religioni Romane, Giano è il dio degli inizi e dei cancelli"
0,1,"Egli ha una doppia natura ed è solitamente rappresentato come avente due facce, poiché vede nel passato e nel futuro"
0,2,"Giano presiede sull’inizio e sulla fine dei conflitti, e quindi su guerra e pace"
0,3,Le porte del suo tempio erano aperte in tempo di guerra e chiuse in tempo di pace
0,4,"Come dio dei cancelli, era anche associato all’entrare ed uscire attraverso le porte di casa"
0,5,"Giano simboleggiava di frequente il cambiamento e le transizioni, come il progredire da una condizione all’ altra, da una visione all’altra, e la crescita dalla giovinezza fino all’età adulta"
0,6,"Dunque Giano era celebrato all’inizio del raccolto e al tempo della semina, così come in occasione di matrimoni, morti, e altri tipi di inizi"
0,7,"Giano non aveva sacerdoti specificatamente assegnati a sé, ma l’alto sacerdote stesso presiedeva le sue cerimonie"
0,8,"Giano rappresentava la via di mezzo tra civiltà e barbarie, spazio urbano e rurale, giovinezza e età adulta"
0,9,"Gli antichi greci non avevano un equivalente di Giano, che i Romani sostenevano appartenere distintamente a loro"
1,0,Il saluto dei surfisti viene chiamato “hang loose” oppure “shaka brah”
1,1,"E’ un saluto che si fa con pugno chiuso e pollice e mignolo distesi, e simboleggia uno stato di pace e unità tra surfisti"
1,2,"Secondo la leggenda questa forma di saluto nasce nelle Hawaii, e ad esso vengono attribuiti diversi significati: secondo molti, è considerato un gesto utilizzato per trasmettere tanto un segno di amicizia quanto uno stato mentale, chiamato “aloha”, caratterizzato un senso di comunione, comprensione e solidarietà tra le varie culture ed etnie hawaiane"
1,3,"Secondo una popolare credenza le origini dello shaka sembra siano da attribuire a tale Hamana Kalili, che perse le tre dita centrali del mano destra lavorando in uno zuccherificio"
1,4,"Dopo questo grave incidente, l’uomo divenne responsabile del treno che trasportava lo zucchero"
1,5,"In tale mansione, al fine di indicare il via libera per il convoglio era solito fare un segno con la mano destra, priva di tre dita"
1,6,"Tale gesto si sarebbe evoluto negli anni nel cosiddetto “shaka brah”, usato oggi dai surfisti di tutto il mondo"
2,0,"Negli sport competitivi il doping consiste nell’utilizzo, da parte di atleti, di sostanze proibite in grado di incrementare il rendimento agonistico"
2,1,Il termine “doping” è ampiamente usato dalle organizzazioni che regolano le competizioni sportive
