Text_ID,Sentence_Number,text
0,0,"In ancient Roman religion and myth, Janus is the god of beginnings and gates"
0,1,"He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past"
0,2,"Janus presided over the beginning and ending of conflict, and hence war and peace"
0,3,The doors of his temple were open in times of war and closed during peacetime
0,4,"As the god of gates, he was also associated with entering and exiting the doors of homes"
0,5,"Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of young people into adulthood"
0,6,"Hence, Janus was worshipped at the beginning of the harvest and planting times, as well as at marriages, deaths, and other beginnings"
0,7,"Janus had no specialized priest assigned to him, but the high priest himself carried out his ceremonies"
0,8,"Janus represented the middle ground between barbarism and civilization, rural and urban space, youth and adulthood"
0,9,"The ancient Greeks had no equivalent to Janus, whom the Romans claimed as distinctively their own"
1,0,"The shaka sign, sometimes known as ""hang loose"", is a gesture of friendly intent often associated with Hawaii and surf culture"
1,1,The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand; the hand may be rotated back and forth for emphasis
1,2,"The shaka sign was adopted from local Hawaiian culture and customs by visiting surfers in the 1960s, and its use has spread around the world"
1,3,"It is primarily used as a greeting gesture or to express thanks, acknowledgement, or even praise from one individual to another"
1,4,"Residents of Hawaii use the shaka to convey the ""Aloha Spirit"": a concept of friendship, understanding, compassion, and solidarity among the various ethnic cultures that reside in Hawaii"
1,5,"While the exact origin of the sign is unclear, some have suggested its origin was derived from Spanish immigrants, who folded their middle fingers and took their thumbs to their lips as a friendly gesture to represent sharing a drink with the natives they met in Hawaii"
2,0,"In competitive sports, doping is the use of banned performance- enhancing drugs by athletic competitors"
2,1,The term doping is widely used by organizations which regulate sporting competitions
2,2,"The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee"
2,3,"Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating"
2,4,"Despite its prevalence in the headlines recently, doping is not a new phenomenon; in fact, it is as old as sport itself"
2,5,"From the use of substances in ancient chariot races to more recent controversies in baseball and cycling, popular views among athletes have varied widely over the years"
2,6,"In recent decades, authorities and sporting organizations have tried to strictly regulate the use of drugs in sport"
2,7,"The primary reasons for this ban are the health risks of nan performance- enhancing drugs, the equality of opportunity for athletes, and the positive example to the public set by drug- free sport"
2,8,"Anti- doping authorities have repeatedly emphasized that using performance- enhancing drugs goes against the ""spirit of sport"""
3,0,The thylacine was the largest known carnivorous marsupial of modern times
3,1,"It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine- like appearance, traits and attributes"
3,2,"Native to continental Australia, Tasmania, and New Guinea, it is believed to have become extinct in the twentieth century"
3,3,The thylacine was one of only two marsupials to have a pouch in both sexes
3,4,The male had a pouch that protected the external reproductive organs while running through thick brush
3,5,The thylacine has been described as a formidable predator because of its ability to survive and hunt prey in extremely sparsely populated areas
3,6,"The thylacine had become extremely rare or extinct on the Australian mainland before British settlement of the continent, but it survived on the island of Tasmania"
3,7,"Intensive hunting encouraged by bounties is generally blamed for its extinction, but other contributing factors may have included disease, the introduction of dogs, and human encroachment into its habitat"
3,8,"Despite its official classification as extinct, sightings are still reported, though none have been conclusively proven"
4,0,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment
4,1,"First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming"
4,2,"WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually"
4,3,"Each year, WED chooses a new theme that major corporations, non- governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes"
4,4,"For example, the theme for 2018 is ""Beat Plastic Pollution"""
4,5,The goal is to encourage people to change their everyday habits in ways which can reduce plastic pollution
4,6,"Specifically, the campaign hopes to reduce the prevalence of single- use or disposable plastic items, as they have severe environmental consequences"
4,7,"In response to this campaign, the Indian government has pledged to eliminate all single- use plastic in India by 2022"
5,0,A monocle is a type of corrective lens used to correct or enhance the vision in only one eye
5,1,"It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire"
