Text_ID,Sentence_Number,text
0,0,"En las antiguas mitología y religión romana, Jano es el dios de los comienzos y las puertas, Él tiene una doble naturaleza, y generalmente se lo representa con dos caras, ya que él mira hacia el futuro y hacia el pasado"
0,1,"Jano presidía el comienzo y el final de los conflictos, y por lo tanto la guerra y la paz"
0,2,Las puertas de su templo se abrían en tiempos de guerra y se cerraban durante los momentos de paz
0,3,"Como dios de las puertas, a él también se lo asociaba con la entrada y la salida de las puertas de los hogares"
0,4,"Jano frecuentemente simbolizaba el cambio y las transiciones, como el progreso de una condición a otra, y el crecimiento de los jóvenes a la adultez"
0,5,"Por eso, Jano era adorado al comienzo de los tiempos de cosecha y cultivo, así como en los matrimonios, las muertes, y otros comienzos"
0,6,"Jano no tenía un sacerdote especializado dedicado a él, sino que el sacerdote máximo mismo llevaba a cabo las ceremonias"
0,7,"Jano representaba el punto medio entre la barbarie y la civilización, el espacio rural y el urbano, la juventud y la adultez"
0,8,"Los antiguos griegos no tenían un equivalente a Jano, a quienes los romanos aclamaban como distintivamente suyo"
1,0,La señal de Shaka es un gesto típico de saludo que se suele asociar con Hawái y con la cultura del surf
1,1,Se hace extendiendo el pulgar y el dedo meñique mientras los demás dedos permanecen doblados levantando la mano como para saludar
1,2,"En ocasiones, se agita la mano de un lado a otro para enfatizar el gesto"
1,3,"La señal es similar a la letra ""Y"" en la lengua de signos americana, en la que se hace un puño extendiendo sólo el pulgar y el meñique"
1,4,"Se desconoce el origen exacto, aunque algunos relacionan el origen de la señal con los inmigrantes españoles de Hawái, que plegaban sus dedos del medio y se llevaban sus pulgares a sus labios como un gesto amistoso que representaba compartir un trago con los nativos que encontraban allá"
1,5,Otra teoría del origen del Shaka proviene de la historia de un surfista que fue atacado por un tiburón
1,6,"En el ataque, éste perdió los tres dedos del medio, y al pedir auxilio solo se le veían los dos dedos que se utilizan para este saludo tan usado entre los deportistas extremos de todo el mundo"
2,0,"En deportes de competencia, dopaje es el uso de drogas prohibidas que mejoran el rendimiento por parte de los atletas competidores"
2,1,El término dopaje es utilizado ampliamente por las organizaciones que regulan las competencias deportivas
2,2,"El uso de drogas para mejorar el desempeño es mayormente considerado poco ético y, por lo tanto, es prohibido por la mayoría de las organizaciones deportivas, incluyendo el Comitée Olímpico Internacional"
2,3,"Además, los atletas que explícitamente toman medidas para evadir su detección exacerban la violación ética mediante el fraude y engaño evidentes"
2,4,"A pesar de su reciente prevalencia en los titulares, el dopaje no es un fenómeno nuevo – de hecho es tan antiguo como el deporte mismo"
2,5,"Desde el uso de sustancias en las carreras de cuadrigas de la antigüedad hasta las controversias más recientes en béisbol y ciclismo, las opiniones populares entre los atletas han variado ampliamente a lo largo de los años"
2,6,"En las décadas recientes, las autoridades y organizaciones deportivas han tratado de regular el uso de drogas en el deporte de manera estricta"
2,7,"Las principales razones para esta prohibición son los riesgos de las drogas que mejoran el rendimiento para la salud, la igualdad de oportunidades para los atletas, y el ejemplo positivo para el público aportado por el deporte libre de drogas"
2,8,Las autoridades antidopaje han enfatizado de manera repetida que el uso de drogas para la mejora del rendimiento va en contra del “espíritu del deporte”
3,0,"El lobo marsupial o tilacino, también conocido como lobo de Tasmania, tigre de Tasmania o tilacín, fue un marsupial carnívoro originado en el Holoceno"
3,1,"Era nativo de Australia, Tasmania y Nueva Guinea y se cree que se extinguió en el siglo XX"
3,2,"Se trataba del último miembro viviente de su género, cuyos otros miembros vivieron en tiempos prehistóricos a partir de principios del Mioceno"
3,3,"El lobo marsupial se extinguió en la Australia continental miles de años antes de la llegada de los colonos europeos, pero sobrevivió en la isla de Tasmania junto con otras especies endémicas, como el diablo de Tasmania"
3,4,"Generalmente suele culparse de su extinción a la caza intensiva incentivada por recompensas, pero podrían haber contribuido otros factores, como por ejemplo las enfermedades, la introducción de los perros, o la ocupación de su hábitat por los humanos"
3,5,"A pesar de su clasificación oficial como extinto todavía se informan avistamientos, aunque ninguno ha sido probado de manera concluyente"
3,6,Su pariente vivo más próximo es el demonio de Tasmania
4,0,El Día Mundial del Medio Ambiente fue establecido por la Organización de las Naciones Unidas en diciembre de 1972
4,1,"Se celebra desde 1974 el 5 de junio de cada año, fecha con la que se dio inicio a la Conferencia de Estocolmo en 1972, cuyo tema central fue el ambiente"
4,2,"La proclamación de este día es un vínculo por medio del cual la Organización de Naciones Unidas sensibiliza a la población mundial en relación a temas ambientales, intensificando la atención y la acción política"
4,3,"Los objetivos principales son: brindar un contexto humano, motivar a las personas para que se conviertan en agentes activos del desarrollo sustentable y equitativo; promover el papel fundamental de las comunidades en el cambio de actitud hacia temas ambientales, y fomentar la cooperación para que el medio ambiente sea sostenible, ya que ésta garantizará que todas las naciones y personas disfruten de un futuro más próspero y seguro"
4,4,"En muchos países esta celebración es una oportunidad de firmar o ratificar convenios internacionales y, algunas veces, establece estructuras gubernamentales permanentes relacionadas con el manejo ambiental y la planificación económica"
5,0,"El monóculo es un tipo de lente correctiva usada para ajustar la visión en un solo ojo, que consiste en una luneta circular con aumento"
5,1,En muchos casos está enmarcada en un anillo de alambre que posee una cadenilla o cordón que se sujeta a la ropa para evitar su pérdida
5,2,"Si bien se conocen usuarios de monóculos desde el siglo dieciocho, este elemento no se convirtió en un artículo incorporado al vestuario masculino hasta entrado el siglo diecinueve"
5,3,El monóculo estuvo generalmente asociado a hombres ricos pertenecientes a la clase alta
5,4,"Combinado con un frac y un sombrero de copa, completaba el traje del estereotipo del capitalista de fines de ese siglo"
5,5,Los monóculos estuvieron también asociados a los militares alemanes de ese periodo hasta la Primera Guerra mundial
5,6,Los monóculos no eran incómodos como a veces se cree
5,7,"Adaptados en forma conveniente, se usaban sin esfuerzo"
5,8,"Por ello, las clases adineradas usaban monóculos hechos a medida y que necesitaban de ajustes a lo largo de su vida útil"
5,9,La opinión popular era que un monóculo podía caerse fácilmente con una expresión facial inesperada
5,10,Ello fue sumamente explotado en las comedias: el elegante caballero que se asusta o asombra y su monóculo que cae al suelo o dentro de su copa
6,0,La cata de vinos es un análisis sensorial y evaluación del vino
6,1,"Mientras que la práctica de cata de vinos es tan antigua como su producción, una metodología más formalizada ha sido establecida desde fines de la Edad Media en adelante"
6,2,"Los catadores de vino profesionales de la modernidad usan terminología especializada que está en constante evolución para describir el rango de sabores, aromas y características del vino percibidos"
6,3,"En los últimos años, han emergido resultados que desafiaban la confiabilidad de la cata de vinos tanto en expertos como en consumidores"
6,4,"Por ejemplo, algunos estudios mostraron que la gente espera que los vinos más caros tengan más características deseables que los vinos menos caros: cuando a los catadores les dan vino y les dicen que es caro, ellos casi siempre reportan que sabe mejor que el mismo vino cuando les dicen que no es caro"
6,5,"Otros estudios muestran que el juicio de los catadores puede ser sesgado si conocen los detalles de un vino, como el origen geográfico, su reputación u otras consideraciones"
6,6,"La cata de vinos objetiva requiere, por lo tanto, que el vino sea servido a ciegas –esto es, sin que el catador haya visto la etiqueta o la forma de la botella"
6,7,"La cata a ciegas puede involucrar también que se sirva el vino en una copa de vino negra, para cubrir el color del vino"
7,0,"El jugo de naranja es un jugo de frutas en forma de líquido obtenido de exprimir el interior de las naranjas, generalmente con un exprimidor"
7,1,"Sus usos culinarios son diversos, aunque principalmente se consume como refresco"
7,2,"Hoy en día puede adquirirse exprimido en casi cualquier supermercado, en sus versiones con y sin pulpa"
7,3,"Si bien ya contiene gran cantidad de vitamina C en su versión natural, algunas fábricas añaden ácido cítrico o vitamina C a sus productos, además de otros nutrientes como el calcio y la vitamina D El jugo de naranja se utiliza en muchos desayunos del mundo; también se emplea en la elaboración de algunos tragos como el destornillador o la sangría"
7,4,"Por su carácter ácido, se emplea en la elaboración de salsas agridulces o en preparaciones como el cebiche o algunas vinagretas para ensaladas"
7,5,"A veces se utiliza en la preparación de alimentos como un ingrediente más, por ejemplo, en la preparación de tortas y postres"
8,0,La apicultura es la actividad dedicada a la crianza de las abejas y a prestarles los cuidados necesarios con el objetivo de obtener y consumir los productos que son capaces de elaborar y recolectar
8,1,El principal producto que se obtiene de esta actividad es la miel
8,2,La obtención de la miel es doblemente beneficiosa para los seres humanos
8,3,"Por un lado, este producto se consume de manera directa, y por otro lado, su producción facilita la polinización de plantas y flores"
8,4,"Durante muchos siglos, los apicultores gozaron de gran prestigio"
8,5,"Las diferentes culturas desde el Antiguo Egipto valoraban esta ocupación, ya que proveía el único edulcorante conocido hasta la Edad Media"
8,6,Las actividades que desarrolla el apicultor son diversas
8,7,Durante la primavera y el verano normalmente trabaja con las abejas realizando trabajos de control de población y extracción de la miel
8,8,"Durante el invierno o estación de receso, el trabajo consiste en la preparación del material de madera para la temporada que viene, en donde alojará a las nuevas familias"
8,9,También debe advertir posibles enfermedades o plagas de las poblaciones de abejas para poder tratarlas a tiempo
9,0,"La bandera nacional es una bandera que representa a un país, que indica nacionalidad"
9,1,Es uno de los símbolos más importantes que tiene una nación
9,2,"La bandera nacional sirve para representar al país en el extranjero, pero también como representación de los ciudadanos o del gobierno en el propio país"
9,3,Cuando la bandera nacional se usa en el mar se denomina pabellón nacional
9,4,"Existen tres categorías de banderas nacionales, según su uso: La bandera civil, la bandera de guerra y la bandera institucional"
9,5,"Cuando ocurre un trágico suceso nacional o fallece una persona que se desea honrar, las banderas nacionales ondean a media asta en señal de duelo"
9,6,"Si el mástil o asta no permite este tipo de izado, se debe colocar un crespón negro en el paño, pero nunca las dos cosas a la vez"
9,7,"En algunos países islámicos, en los que la bandera contiene el nombre de Alá (como la de Arabia Saudita o Irán), está prohibido ondear la bandera a media asta debido al contenido sagrado inscrito en ella"
9,8,"En cambio, se usa una bandera de color negro junto a la enseña nacional en ocasiones de duelo nacional"
9,9,"Las banderas nacionales, como signo de identificación colectiva desvinculado del estandarte personal de un rey, señor o linaje, son un fenómeno relativamente reciente, ya que se considera a la bandera de Dinamarca como la bandera nacional más antigua, y data del siglo catorce"
